snapshot_at_utc	benchmark_commit	runner_sha256	target	target_kind	target_commit	omz_commit	zsh_version	git_version	fixture_files	settle_ms	state	iteration	first_ms	settled_ms	repaints	git_calls	unlocked_calls	semantic_pass	measurement_started_epoch_seconds	measurement_finished_epoch_seconds	cpu_psi_some_total_before	cpu_psi_some_total_after
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	1	0.670	0.670	0	0	0	na	1788313405.116136	1788313405.269502	178020675	178022003
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	2	0.534	0.534	0	0	0	na	1788313405.423170	1788313405.576677	178023263	178024186
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	3	0.741	0.741	0	0	0	na	1788313405.729978	1788313405.883744	178025214	178027297
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	4	0.559	0.559	0	0	0	na	1788313406.037175	1788313406.190737	178029098	178030234
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	5	0.669	0.669	0	0	0	na	1788313406.344813	1788313406.498621	178031179	178032677
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	6	0.519	0.519	0	0	0	na	1788313406.651944	1788313406.805352	178033866	178034832
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	7	0.508	0.508	0	0	0	na	1788313406.958760	1788313407.112030	178037229	178038923
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	8	0.563	0.563	0	0	0	na	1788313407.265479	1788313407.418913	178040167	178040971
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	9	0.562	0.562	0	0	0	na	1788313407.572146	1788313407.726196	178042731	178043638
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	10	0.604	0.604	0	0	0	na	1788313407.879943	1788313408.034149	178044273	178045256
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	11	0.567	0.567	0	0	0	na	1788313408.187941	1788313408.341740	178047021	178048274
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	12	0.622	0.622	0	0	0	na	1788313408.495669	1788313408.649578	178049071	178050132
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	13	0.546	0.546	0	0	0	na	1788313408.803035	1788313408.956711	178051098	178051645
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	14	0.842	0.842	0	0	0	na	1788313409.111345	1788313409.266418	178054210	178058319
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	15	0.726	0.726	0	0	0	na	1788313409.421880	1788313409.577370	178062249	178065294
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	16	0.593	0.593	0	0	0	na	1788313409.732258	1788313409.885803	178066189	178067423
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	17	0.609	0.609	0	0	0	na	1788313410.039537	1788313410.193073	178069001	178070483
2026-09-02T01:43:24Z	2a8202573382705a9d423e5818e57d59e774bf3e	5a02941e176b9f49a05c37d8417a76b96b4a65bcf8812221a82d30ffd3ad5061	raw	control	5.9	2264a8042763edf2620cfe32d96b096e1f3d26aa	5.9	2.55.0	1000	150	clean	18	0.563	0.563	0	0	0	na	1788313410.346786	1788313410.500230	178071753	178073349
